Time,Channel B
(ns),(mV)

478.99998890,-10.27682000
479.49998888,-9.93110200
479.99998887,-9.76316400
480.49998885,-9.77423700
480.99998884,-9.89234600
481.49998882,-10.13041000
481.99998881,-10.13041000
482.49998880,-9.89234600
482.99998878,-9.77977300
483.49998877,-9.79084600
483.99998875,-9.84867000
484.49998874,-9.95632300
484.99998873,-10.01169000
485.49998871,-10.01169000
485.99998870,-9.95386200
486.49998868,-9.83452200
486.99998867,-9.83452200
487.49998866,-9.95386200
487.99998864,-10.00861000
488.49998863,-9.99753900
488.99998861,-9.99753900
489.49998860,-10.00861000
489.99998858,-9.95632300
490.49998857,-9.84867000
490.99998856,-9.79330700
491.49998854,-9.79330700
491.99998853,-9.85420700
492.49998851,-9.98400600
492.99998850,-9.92864100
493.49998849,-9.69119100
493.99998847,-9.63582600
494.49998846,-9.76562400
494.99998844,-9.82344900
495.49998843,-9.81237700
495.99998841,-9.80991600
496.49998840,-9.80991600
496.99998839,-9.81237700
497.49998837,-9.82344900
497.99998836,-9.76870100
498.49998834,-9.64936000
498.99998833,-9.64689900
499.49998832,-9.75516700
499.99998830,-9.86220500
500.49998829,-9.95939900
500.99998827,-10.00861000
501.49998826,-9.99753900
501.99998824,-9.99507800
502.49998823,-9.99507800
502.99998822,-9.99753900
503.49998820,-10.00861000
503.99998819,-9.95386200
504.49998817,-9.83452200
504.99998816,-9.84005800
505.49998815,-9.98092900
505.99998813,-9.92618100
506.49998812,-9.67704200
506.99998810,-9.67458200
507.49998809,-9.91264700
507.99998808,-10.02215000
508.49998806,-10.00062000
508.99998805,-9.99507800
509.49998803,-9.99507800
509.99998802,-9.99753900
510.49998800,-10.00861000
510.99998799,-9.95632300
511.49998798,-9.84867000
511.99998796,-9.79330700
512.49998795,-9.79330700
512.99998793,-9.85113100
513.49998792,-9.97047100
513.99998791,-9.97293300
514.49998789,-9.86466500
514.99998788,-9.74963100
515.49998786,-9.61983200
515.99998785,-9.72933000
516.49998783,-10.07566000
516.99998782,-10.18270000
517.49998781,-10.04183000
517.99998779,-9.98154500
518.49998778,-9.99261800
518.99998776,-9.99507800
519.49998775,-9.99507800
519.99998774,-9.99507800
520.49998772,-9.99507800
520.99998771,-10.00062000
521.49998769,-10.02215000
521.99998768,-9.91510800
522.49998767,-9.68811500
522.99998765,-9.63336600
523.49998764,-9.75209100
523.99998762,-9.86220500
524.49998761,-9.95939900
524.99998759,-10.00861000
525.49998758,-9.99753900
525.99998757,-9.99753900
526.49998755,-10.00861000
526.99998754,-9.95939900
527.49998752,-9.86220500
527.99998751,-9.75209100
528.49998750,-9.63336600
528.99998748,-9.69119100
529.49998747,-9.92864100
529.99998745,-9.98092900
530.49998744,-9.84005800
530.99998742,-9.83452200
531.49998741,-9.95386200
